transaction_id,customer_id,transaction_date,amount,merchant_id,merchant_category,payment_method,device_type,device_id,ip_address,transaction_country,chargeback,is_fraud,customer_name,age,account_age_days,home_country,email_domain,is_vip,high_amount_flag,cross_border_flag,late_night_flag,new_account_flag,high_risk_merchant_flag,risk_score,risk_level
11,661,2025-06-03 13:54:38,43.94,MER-561,travel,bank_transfer,desktop,DEV-9535,159.173.247.99,MX,0,0,João Castro,58,3359,BR,gmail.com,1,0,1,0,0,0,25,medium
12,189,2025-11-28 17:49:53,43.85,MER-861,electronics,debit_card,tablet,DEV-5122,212.84.12.179,US,0,0,Sabrina da Cunha,30,2456,BR,hotmail.com,0,0,1,0,0,1,35,medium
13,82,2025-03-23 18:40:06,82.91,MER-999,fashion,bank_transfer,mobile,DEV-2045,71.18.27.218,BR,0,0,Davi Miguel Gonçalves,37,3361,US,hotmail.com,0,0,1,0,0,0,25,medium
14,56,2025-01-11 05:44:19,11.92,MER-186,marketplace,credit_card,mobile,DEV-3544,114.232.99.220,AR,0,0,Sr. Apollo Melo,25,3647,BR,gmail.com,0,0,1,1,0,0,40,high
15,907,2025-06-01 09:37:48,14.12,MER-553,travel,debit_card,mobile,DEV-5655,205.3.226.49,MX,0,0,Alana Araújo,53,3584,BR,gmail.com,0,0,1,0,0,0,25,medium
16,135,2025-07-24 13:35:39,40.2,MER-981,fashion,credit_card,mobile,DEV-6846,186.225.219.67,MX,0,0,Antony Costela,45,722,US,outlook.com,1,0,1,0,0,0,25,medium
17,885,2025-07-04 22:05:01,26.8,MER-814,pharmacy,pix,tablet,DEV-3213,24.113.186.90,PY,0,0,Vitor Hugo Martins,44,2225,BR,gmail.com,0,0,1,0,0,0,25,medium
18,606,2025-08-21 01:53:18,88.48,MER-417,pharmacy,bank_transfer,tablet,DEV-9745,154.172.147.88,MX,0,0,Gabriela Ramos,25,3513,BR,yahoo.com,0,0,1,1,0,0,40,high
19,494,2025-07-29 14:04:17,29.45,MER-522,food,credit_card,desktop,DEV-6992,11.153.102.193,AR,0,0,Rhavi Abreu,41,1282,BR,hotmail.com,0,0,1,0,0,0,25,medium
20,311,2025-01-05 02:23:14,18.71,MER-647,electronics,debit_card,desktop,DEV-8687,201.70.78.152,AR,0,1,Emanuella Vasconcelos,60,2879,US,gmail.com,1,0,1,1,0,1,50,high
21,970,2025-10-21 09:30:57,249.41,MER-711,pharmacy,pix,mobile,DEV-5799,218.243.18.174,PY,0,0,Murilo Gonçalves,28,1594,AR,gmail.com,0,0,1,0,0,0,25,medium
22,8,2025-08-01 21:42:28,54.42,MER-504,digital_services,debit_card,desktop,DEV-8161,112.180.234.255,CL,0,1,Maria Vitória Moraes,40,3472,BR,outlook.com,0,0,1,0,0,1,35,medium
23,662,2025-06-01 08:29:02,70.86,MER-740,marketplace,debit_card,desktop,DEV-7917,192.31.139.45,BR,0,0,Dra. Sabrina Ribeiro,60,536,BR,outlook.com,0,0,0,0,0,0,0,low
24,783,2025-11-07 16:09:32,18.5,MER-928,travel,pix,tablet,DEV-9715,200.194.136.236,MX,0,0,Maria Cecília Araújo,32,3049,AR,yahoo.com,0,0,1,0,0,0,25,medium
25,193,2025-11-28 11:01:44,40.86,MER-752,gaming,debit_card,mobile,DEV-2808,130.169.160.87,AR,0,0,Anthony Gabriel Novaes,46,2207,BR,outlook.com,1,0,1,0,0,1,35,medium
26,464,2025-04-16 16:28:26,73.69,MER-150,pharmacy,debit_card,desktop,DEV-3492,215.166.94.30,BR,0,0,Isabella Rocha,23,2797,AR,hotmail.com,0,0,1,0,0,0,25,medium
27,23,2025-03-14 05:03:50,23.67,MER-844,gaming,pix,desktop,DEV-8183,117.209.153.12,US,1,1,Maria Sophia Cardoso,58,656,US,yahoo.com,0,0,0,1,0,1,25,medium
28,16,2025-07-11 16:29:41,93.52,MER-480,food,pix,desktop,DEV-9165,213.107.112.18,AR,0,0,Rafaela Lopes,47,1555,BR,hotmail.com,0,0,1,0,0,0,25,medium
29,811,2025-01-13 07:48:41,38.84,MER-894,digital_services,credit_card,mobile,DEV-5366,202.207.199.191,BR,0,0,Melissa Casa Grande,60,414,BR,outlook.com,0,0,0,0,0,1,10,low
30,557,2025-07-02 14:05:08,51.29,MER-224,fashion,debit_card,desktop,DEV-1206,131.105.202.252,PY,0,0,Bryan da Cruz,32,2092,US,hotmail.com,1,0,1,0,0,0,25,medium
31,732,2025-04-07 16:29:50,38.8,MER-303,marketplace,bank_transfer,mobile,DEV-1549,200.44.220.0,MX,0,0,João Felipe Alves,20,1079,BR,outlook.com,0,0,1,0,0,0,25,medium
32,790,2025-02-06 11:46:24,353.21,MER-430,food,bank_transfer,desktop,DEV-6113,144.218.132.174,MX,0,1,Gabriela Barbosa,39,2585,AR,outlook.com,0,0,1,0,0,0,25,medium
33,763,2025-08-02 10:27:22,65.88,MER-303,gaming,pix,desktop,DEV-5895,99.162.128.113,MX,0,0,Sr. Calebe da Rosa,28,3432,AR,gmail.com,0,0,1,0,0,1,35,medium
34,54,2025-12-02 09:52:22,25.74,MER-432,food,credit_card,mobile,DEV-8113,221.44.173.165,MX,0,1,João Felipe Moura,21,2081,BR,hotmail.com,0,0,1,0,0,0,25,medium
35,599,2025-02-16 11:12:54,139.81,MER-804,marketplace,debit_card,mobile,DEV-8786,102.196.182.216,BR,0,0,Sr. Marcos Vinicius Silva,50,3072,BR,outlook.com,1,0,0,0,0,0,0,low
36,381,2025-10-27 08:20:55,22.23,MER-802,gaming,debit_card,mobile,DEV-2497,150.54.175.66,PY,0,0,Luiz Henrique Cirino,34,805,BR,outlook.com,0,0,1,0,0,1,35,medium
37,954,2025-10-22 23:36:49,80.48,MER-818,electronics,credit_card,desktop,DEV-3521,193.7.131.25,MX,0,0,Dr. Nicolas Azevedo,57,2457,BR,gmail.com,0,0,1,0,0,1,35,medium
38,110,2025-02-18 20:47:48,11.43,MER-924,pharmacy,debit_card,desktop,DEV-6690,195.254.168.76,CL,0,0,Ana Vitória Silva,33,1113,BR,gmail.com,0,0,1,0,0,0,25,medium
39,751,2025-03-16 22:34:01,20.18,MER-356,electronics,bank_transfer,desktop,DEV-3207,214.34.18.113,MX,0,0,Nina Sales,35,3453,BR,gmail.com,0,0,1,0,0,1,35,medium
40,497,2025-10-02 10:13:53,79.61,MER-294,pharmacy,pix,tablet,DEV-9029,70.248.225.18,MX,0,0,Henrique Carvalho,49,2256,BR,outlook.com,0,0,1,0,0,0,25,medium
41,557,2025-05-16 00:28:10,129.62,MER-170,digital_services,bank_transfer,desktop,DEV-3627,208.52.239.23,CL,0,0,Bryan da Cruz,32,2092,US,hotmail.com,1,0,1,1,0,1,50,high
42,461,2025-04-25 19:52:08,77.81,MER-488,travel,pix,desktop,DEV-9289,143.112.12.211,BR,0,0,Cecília da Paz,22,1934,BR,yahoo.com,0,0,0,0,0,0,0,low
43,905,2025-01-08 06:28:54,60.09,MER-774,digital_services,debit_card,desktop,DEV-2037,193.2.173.29,MX,0,0,Francisco da Luz,26,3059,BR,outlook.com,0,0,1,0,0,1,35,medium
44,839,2025-05-31 11:40:35,50.86,MER-430,food,bank_transfer,tablet,DEV-5638,197.140.17.246,US,0,0,Isaac Albuquerque,39,1140,BR,hotmail.com,1,0,1,0,0,0,25,medium
45,330,2025-02-12 21:36:01,17.63,MER-994,gaming,credit_card,mobile,DEV-3926,164.138.166.172,US,1,1,Ravy Costa,19,1306,AR,outlook.com,0,0,1,0,0,1,35,medium
46,197,2025-02-08 08:27:00,34.89,MER-738,electronics,bank_transfer,tablet,DEV-9615,62.242.186.172,PY,0,0,Sra. Ester da Mota,60,3246,US,hotmail.com,1,0,1,0,0,1,35,medium
47,263,2025-01-20 01:30:40,44.05,MER-113,digital_services,debit_card,tablet,DEV-2161,176.147.116.102,MX,0,0,Rael Carvalho,40,3579,BR,yahoo.com,0,0,1,1,0,1,50,high
48,214,2025-09-12 16:01:37,172.67,MER-469,pharmacy,credit_card,desktop,DEV-1994,197.249.106.177,MX,0,0,João Felipe da Mota,47,3463,BR,yahoo.com,1,0,1,0,0,0,25,medium
49,961,2025-12-12 19:24:53,90.85,MER-641,marketplace,pix,tablet,DEV-5355,200.249.160.171,BR,1,1,Beatriz Siqueira,30,23,US,gmail.com,0,0,1,0,1,0,45,high
50,312,2025-01-31 06:24:37,13.64,MER-644,food,credit_card,mobile,DEV-4784,184.143.39.218,MX,0,0,Sra. Maria Sophia Barbosa,50,1483,BR,outlook.com,0,0,1,0,0,0,25,medium
51,198,2025-07-24 08:27:54,89.27,MER-864,food,debit_card,tablet,DEV-7802,159.197.145.230,MX,0,1,Agatha Montenegro,20,518,BR,outlook.com,0,0,1,0,0,0,25,medium
52,367,2025-09-19 22:43:34,47.15,MER-663,pharmacy,bank_transfer,mobile,DEV-3955,119.158.160.107,US,0,0,Mariana da Mata,25,556,AR,yahoo.com,0,0,1,0,0,0,25,medium
53,346,2025-09-13 08:38:28,36.26,MER-965,fashion,bank_transfer,desktop,DEV-6319,208.97.106.96,AR,0,0,Maitê Rezende,36,826,BR,hotmail.com,0,0,1,0,0,0,25,medium
54,783,2025-09-03 22:13:56,115.64,MER-319,marketplace,pix,tablet,DEV-9939,191.20.239.157,US,0,0,Maria Cecília Araújo,32,3049,AR,yahoo.com,0,0,1,0,0,0,25,medium
55,564,2025-12-26 16:18:53,168.66,MER-100,travel,pix,desktop,DEV-7505,217.190.43.108,PY,0,0,Raquel Nascimento,39,2655,BR,hotmail.com,0,0,1,0,0,0,25,medium
56,292,2025-08-20 08:54:43,154.18,MER-327,electronics,debit_card,desktop,DEV-5920,179.156.68.243,BR,0,0,Maria Cecília Pastor,66,3110,BR,hotmail.com,1,0,0,0,0,1,10,low
57,323,2025-01-09 10:16:17,31.33,MER-464,travel,debit_card,mobile,DEV-8542,73.88.249.145,BR,1,1,Maysa Andrade,70,818,US,hotmail.com,0,0,1,0,0,0,25,medium
58,911,2025-08-15 02:05:04,50.49,MER-684,food,debit_card,desktop,DEV-2505,217.132.85.206,AR,0,0,Theo Dias,29,905,BR,outlook.com,0,0,1,1,0,0,40,high
59,940,2025-03-26 10:39:44,89.85,MER-945,gaming,pix,desktop,DEV-8999,101.133.19.161,US,0,0,Ana Clara Borges,46,679,BR,outlook.com,0,0,1,0,0,1,35,medium
60,720,2025-08-12 18:52:32,160.45,MER-180,gaming,pix,mobile,DEV-7251,71.237.104.56,MX,0,0,Otto da Rocha,39,697,AR,hotmail.com,0,0,1,0,0,1,35,medium
61,944,2025-10-27 09:19:22,43.33,MER-990,digital_services,pix,desktop,DEV-2974,159.4.4.46,PY,0,0,Vitor Melo,19,999,BR,hotmail.com,0,0,1,0,0,1,35,medium
62,766,2025-09-11 12:20:34,56.42,MER-142,electronics,bank_transfer,mobile,DEV-9591,164.179.216.176,AR,0,0,Ana Lívia Garcia,50,83,AR,gmail.com,1,0,0,0,0,1,10,low
63,579,2025-02-28 02:11:12,24.64,MER-556,digital_services,debit_card,mobile,DEV-7436,162.35.114.107,BR,0,0,Benicio Sales,38,3449,BR,gmail.com,0,0,0,1,0,1,25,medium
64,590,2025-07-16 00:25:06,22.72,MER-251,gaming,debit_card,desktop,DEV-7460,75.84.160.212,AR,1,1,Anna Liz Brito,63,2500,BR,hotmail.com,0,0,1,1,0,1,50,high
65,586,2025-10-17 10:50:22,138.56,MER-613,electronics,bank_transfer,desktop,DEV-7529,198.231.51.143,BR,0,0,Francisco Sousa,66,2945,BR,hotmail.com,1,0,0,0,0,1,10,low
66,715,2025-02-20 15:11:04,226.02,MER-504,fashion,bank_transfer,tablet,DEV-8993,155.154.146.115,US,0,0,Luiz Gustavo Vieira,42,1795,US,hotmail.com,1,0,0,0,0,0,0,low
67,201,2025-08-06 22:27:40,62.5,MER-431,food,debit_card,mobile,DEV-8046,201.113.120.159,AR,0,0,Matteo Ferreira,48,3202,AR,outlook.com,1,0,0,0,0,0,0,low
68,590,2025-02-04 19:04:57,164.54,MER-295,gaming,bank_transfer,desktop,DEV-6706,205.124.60.59,AR,0,0,Anna Liz Brito,63,2500,BR,hotmail.com,0,0,1,0,0,1,35,medium
69,609,2025-09-12 12:51:45,92.34,MER-738,electronics,pix,mobile,DEV-8245,70.42.207.204,AR,1,1,Apollo Souza,59,1477,BR,outlook.com,0,0,1,0,0,1,35,medium
70,838,2025-04-01 16:16:50,37.31,MER-215,food,pix,mobile,DEV-2405,13.178.81.0,MX,0,0,Eduardo Machado,28,307,US,outlook.com,0,0,1,0,0,0,25,medium
71,249,2025-08-30 04:09:44,92.32,MER-412,fashion,pix,mobile,DEV-2823,221.131.205.133,AR,0,0,Ryan Campos,67,1483,BR,gmail.com,1,0,1,1,0,0,40,high
72,24,2025-05-09 21:18:54,266.2,MER-868,food,debit_card,mobile,DEV-9573,93.160.168.72,CL,0,0,Catarina da Rocha,42,1564,BR,yahoo.com,0,0,1,0,0,0,25,medium
73,495,2025-08-30 23:10:20,64.57,MER-144,fashion,credit_card,desktop,DEV-9631,198.241.116.242,CL,0,0,Mirella Monteiro,19,1069,BR,yahoo.com,0,0,1,0,0,0,25,medium
74,62,2025-04-21 07:11:53,272.65,MER-168,food,pix,mobile,DEV-1136,110.26.102.178,PY,0,0,Matteo Ramos,50,1087,BR,outlook.com,0,0,1,0,0,0,25,medium
75,278,2025-09-15 11:26:12,6.31,MER-336,digital_services,credit_card,mobile,DEV-7332,43.181.120.201,AR,0,0,Davi Correia,31,1235,AR,hotmail.com,0,0,0,0,0,1,10,low
76,521,2025-10-03 14:46:44,139.73,MER-190,gaming,pix,desktop,DEV-9709,223.95.4.224,CL,1,1,Maria Freitas,42,3095,US,gmail.com,0,0,1,0,0,1,35,medium
77,469,2025-08-06 17:59:11,72.12,MER-441,electronics,credit_card,mobile,DEV-5995,82.211.23.89,CL,0,1,Renan Sampaio,35,773,AR,gmail.com,0,0,1,0,0,1,35,medium
78,19,2025-05-15 16:13:22,50.95,MER-613,digital_services,pix,tablet,DEV-4869,210.131.36.195,AR,0,0,Vinícius da Luz,59,2045,BR,yahoo.com,0,0,1,0,0,1,35,medium
79,64,2025-09-01 00:48:27,72.43,MER-330,travel,bank_transfer,mobile,DEV-5590,45.214.210.252,CL,0,1,Ana Luiza Azevedo,57,3306,BR,gmail.com,0,0,1,1,0,0,40,high
80,673,2025-02-23 07:21:44,11.15,MER-527,gaming,bank_transfer,tablet,DEV-4726,193.215.63.168,MX,1,1,Maria Eduarda Rezende,53,3065,BR,gmail.com,1,0,1,0,0,1,35,medium
81,994,2025-05-02 07:37:06,54.72,MER-768,digital_services,bank_transfer,tablet,DEV-4387,222.152.104.143,US,1,1,Luan Sousa,65,818,BR,hotmail.com,0,0,1,0,0,1,35,medium
82,820,2025-03-20 13:40:04,91.96,MER-238,fashion,pix,tablet,DEV-9582,117.251.15.238,MX,0,0,Sra. Olivia da Cunha,47,206,BR,hotmail.com,0,0,1,0,0,0,25,medium
83,931,2025-10-27 01:23:10,252.17,MER-836,fashion,debit_card,desktop,DEV-9732,29.179.171.137,BR,1,1,Dante Aparecida,40,166,BR,yahoo.com,0,0,0,1,0,0,15,low
84,901,2025-02-26 12:22:15,41.83,MER-553,electronics,pix,desktop,DEV-5970,108.226.103.136,PY,0,0,Paulo Abreu,59,2951,BR,gmail.com,0,0,1,0,0,1,35,medium
85,842,2025-12-14 05:53:47,32.21,MER-289,travel,debit_card,mobile,DEV-3155,28.214.183.61,BR,0,1,Sara da Rosa,38,487,AR,gmail.com,0,0,1,1,0,0,40,high
86,632,2025-04-14 15:20:23,42.45,MER-467,food,debit_card,mobile,DEV-1427,15.40.10.239,MX,0,1,Eduarda Marques,23,1270,BR,hotmail.com,0,0,1,0,0,0,25,medium
87,138,2025-07-15 02:00:16,152.0,MER-585,pharmacy,pix,mobile,DEV-9051,196.170.161.0,PY,1,1,Manuella Mendes,33,3074,BR,yahoo.com,0,0,1,1,0,0,40,high
88,34,2025-06-08 16:19:37,89.65,MER-875,electronics,pix,desktop,DEV-4323,160.233.149.150,US,1,1,Mateus Lima,51,3574,BR,hotmail.com,0,0,1,0,0,1,35,medium
89,978,2025-06-20 14:26:05,41.4,MER-514,pharmacy,pix,desktop,DEV-8005,198.202.203.16,US,0,0,Carlos Eduardo Teixeira,23,1131,US,outlook.com,1,0,0,0,0,0,0,low
90,623,2025-10-13 13:47:20,105.84,MER-637,marketplace,pix,desktop,DEV-9784,17.19.91.105,CL,0,0,Otávio Fonseca,60,3588,BR,hotmail.com,1,0,1,0,0,0,25,medium
91,722,2025-11-02 14:37:29,72.77,MER-998,electronics,credit_card,desktop,DEV-1694,110.93.204.30,PY,0,0,Rafael Pimenta,45,2678,BR,yahoo.com,0,0,1,0,0,1,35,medium
92,532,2025-07-28 21:18:13,159.46,MER-883,marketplace,credit_card,tablet,DEV-9456,164.56.169.2,PY,0,0,Lívia Lima,19,368,BR,gmail.com,0,0,1,0,0,0,25,medium
93,51,2025-03-15 17:32:00,35.45,MER-572,travel,bank_transfer,desktop,DEV-5684,180.213.209.168,AR,1,1,Lorenzo Almeida,68,3216,BR,yahoo.com,1,0,1,0,0,0,25,medium
94,942,2025-01-22 04:24:42,49.66,MER-839,fashion,bank_transfer,tablet,DEV-2481,205.216.98.161,PY,0,0,Ryan Borges,44,3323,BR,gmail.com,1,0,1,1,0,0,40,high
95,185,2025-10-30 10:18:01,46.86,MER-125,fashion,bank_transfer,desktop,DEV-8387,192.47.225.26,AR,0,0,Agatha Moraes,53,57,BR,gmail.com,0,0,1,0,0,0,25,medium
96,605,2025-12-15 05:04:51,17.86,MER-808,food,bank_transfer,mobile,DEV-6309,176.104.59.117,AR,0,0,Enzo Monteiro,24,2565,US,yahoo.com,0,0,1,1,0,0,40,high
97,729,2025-11-06 07:47:22,87.05,MER-749,fashion,credit_card,mobile,DEV-8362,192.188.208.254,BR,0,0,Luigi Camargo,48,3457,BR,yahoo.com,1,0,0,0,0,0,0,low
98,537,2025-10-02 16:19:09,84.35,MER-144,marketplace,debit_card,desktop,DEV-7235,40.146.132.22,CL,0,0,Rodrigo Guerra,35,1725,BR,gmail.com,0,0,1,0,0,0,25,medium
99,935,2025-05-11 04:13:35,66.99,MER-529,fashion,debit_card,mobile,DEV-1840,189.86.37.182,US,0,1,Maria Cecília Fonseca,63,2136,BR,outlook.com,0,0,1,1,0,0,40,high
100,985,2025-06-23 07:25:41,53.99,MER-103,travel,debit_card,mobile,DEV-4323,1.157.179.41,US,0,0,Lucas Gabriel Sousa,62,1814,AR,yahoo.com,0,0,1,0,0,0,25,medium
101,260,2025-01-05 17:47:04,18.66,MER-722,pharmacy,bank_transfer,desktop,DEV-1094,35.70.136.67,CL,0,0,Esther Santos,22,374,US,gmail.com,1,0,1,0,0,0,25,medium
102,244,2025-03-26 05:24:38,45.67,MER-715,pharmacy,bank_transfer,desktop,DEV-2300,181.115.38.205,PY,0,0,Dr. Rafael Sales,35,3517,AR,hotmail.com,0,0,1,1,0,0,40,high
103,251,2025-12-09 14:24:01,48.99,MER-156,travel,debit_card,mobile,DEV-3429,93.7.97.155,US,0,0,Sr. Theo Azevedo,47,2636,AR,gmail.com,1,0,1,0,0,0,25,medium
104,38,2025-02-26 10:59:15,32.39,MER-211,electronics,pix,desktop,DEV-1803,55.39.95.162,BR,0,0,Vitor Hugo Novais,18,291,US,gmail.com,0,0,1,0,0,1,35,medium
105,183,2025-03-04 15:45:11,57.68,MER-136,travel,debit_card,desktop,DEV-6901,198.130.189.194,MX,1,1,Enzo Sales,46,3608,US,gmail.com,0,0,1,0,0,0,25,medium
106,378,2025-12-15 13:35:01,95.93,MER-399,marketplace,credit_card,desktop,DEV-2063,219.235.177.182,CL,0,0,Eloah da Luz,45,2060,AR,gmail.com,0,0,1,0,0,0,25,medium
107,125,2025-09-27 18:19:20,364.15,MER-314,travel,pix,tablet,DEV-9595,141.79.234.247,PY,0,0,Bruna Abreu,33,817,AR,hotmail.com,0,0,1,0,0,0,25,medium
108,627,2025-01-23 14:19:10,78.03,MER-537,gaming,credit_card,desktop,DEV-5705,216.127.36.240,MX,0,0,Breno da Mota,52,2798,BR,yahoo.com,0,0,1,0,0,1,35,medium
109,325,2025-04-11 20:12:25,84.08,MER-632,digital_services,debit_card,tablet,DEV-9132,113.77.172.201,CL,0,0,Emilly Pereira,63,3465,BR,gmail.com,0,0,1,0,0,1,35,medium
110,510,2025-07-11 06:28:27,62.36,MER-101,fashion,debit_card,tablet,DEV-4171,108.239.172.204,AR,1,1,Yago Garcia,68,1626,BR,yahoo.com,1,0,1,0,0,0,25,medium
111,816,2025-02-15 19:08:50,11.86,MER-458,food,bank_transfer,desktop,DEV-6468,140.121.34.205,BR,0,0,Lavínia Câmara,31,2819,AR,outlook.com,0,0,1,0,0,0,25,medium
112,653,2025-03-24 11:07:58,65.11,MER-909,electronics,debit_card,tablet,DEV-5168,148.246.175.15,AR,1,1,Ana Carolina Melo,47,1509,BR,yahoo.com,0,0,1,0,0,1,35,medium
113,564,2025-05-06 19:11:20,70.4,MER-505,electronics,credit_card,tablet,DEV-6592,33.100.14.189,AR,0,0,Raquel Nascimento,39,2655,BR,hotmail.com,0,0,1,0,0,1,35,medium
114,631,2025-01-12 07:23:37,612.11,MER-585,fashion,debit_card,desktop,DEV-8849,216.142.122.71,AR,0,0,Joana Silveira,62,1648,BR,hotmail.com,0,0,1,0,0,0,25,medium
115,662,2025-02-22 17:19:04,56.09,MER-443,pharmacy,debit_card,tablet,DEV-9797,166.101.41.222,PY,0,0,Dra. Sabrina Ribeiro,60,536,BR,outlook.com,0,0,1,0,0,0,25,medium
116,834,2025-06-10 18:19:19,87.48,MER-668,electronics,pix,tablet,DEV-6169,145.91.154.20,MX,0,0,Henry Gabriel Sá,51,2143,US,gmail.com,1,0,1,0,0,1,35,medium
117,214,2025-08-13 05:44:09,64.64,MER-960,digital_services,pix,mobile,DEV-5595,208.114.112.218,US,0,1,João Felipe da Mota,47,3463,BR,yahoo.com,1,0,1,1,0,1,50,high
118,642,2025-07-27 11:47:12,23.29,MER-985,fashion,bank_transfer,mobile,DEV-2914,8.45.204.39,CL,0,0,Camila Rios,47,2093,BR,yahoo.com,0,0,1,0,0,0,25,medium
119,316,2025-10-01 21:33:26,186.52,MER-608,digital_services,credit_card,desktop,DEV-2422,130.252.170.206,PY,0,0,Vitor Gabriel Martins,67,2532,BR,yahoo.com,0,0,1,0,0,1,35,medium
120,381,2025-06-25 12:04:20,131.2,MER-214,travel,debit_card,tablet,DEV-3867,3.64.109.208,AR,0,0,Luiz Henrique Cirino,34,805,BR,outlook.com,0,0,1,0,0,0,25,medium
121,39,2025-10-30 01:31:54,135.9,MER-918,food,credit_card,desktop,DEV-1408,61.189.49.28,CL,0,0,Ravi Almeida,22,129,AR,gmail.com,0,0,1,1,0,0,40,high
122,513,2025-03-01 20:06:32,29.42,MER-417,food,pix,desktop,DEV-9579,220.133.2.47,MX,0,0,Heloisa Abreu,43,1554,BR,yahoo.com,0,0,1,0,0,0,25,medium
123,147,2025-10-26 20:05:11,235.69,MER-570,gaming,debit_card,mobile,DEV-1598,33.215.43.250,MX,0,0,Laís Brito,62,1859,BR,outlook.com,0,0,1,0,0,1,35,medium
124,886,2025-07-22 20:36:25,18.88,MER-441,gaming,credit_card,desktop,DEV-2426,219.118.177.1,BR,0,0,Liam Sampaio,32,3619,BR,outlook.com,0,0,0,0,0,1,10,low
125,48,2025-02-10 00:59:16,113.09,MER-428,travel,credit_card,tablet,DEV-4438,32.227.139.128,AR,1,1,Cecília da Paz,59,2215,AR,gmail.com,0,0,0,1,0,0,15,low
126,546,2025-05-04 22:41:29,478.86,MER-380,pharmacy,credit_card,desktop,DEV-3580,119.92.215.96,US,0,1,Gael Henrique da Cunha,25,2310,BR,hotmail.com,0,0,1,0,0,0,25,medium
127,574,2025-07-19 15:23:33,27.34,MER-377,gaming,debit_card,tablet,DEV-6218,182.87.255.54,AR,0,1,Ana Clara Araújo,57,2418,BR,hotmail.com,0,0,1,0,0,1,35,medium
128,291,2025-08-11 22:50:27,40.06,MER-653,food,debit_card,mobile,DEV-6549,140.112.221.44,AR,0,0,Henry Gabriel Barros,24,600,BR,hotmail.com,0,0,1,0,0,0,25,medium
129,134,2025-01-12 06:13:53,72.94,MER-188,pharmacy,credit_card,mobile,DEV-1881,157.108.166.83,PY,0,0,Jade Nunes,24,1776,AR,yahoo.com,0,0,1,0,0,0,25,medium
130,184,2025-10-01 16:04:16,42.39,MER-830,pharmacy,pix,desktop,DEV-4246,177.225.192.34,AR,0,0,Sophia Cavalcante,58,2494,US,hotmail.com,0,0,1,0,0,0,25,medium
131,829,2025-07-27 04:26:23,16.52,MER-932,gaming,bank_transfer,tablet,DEV-2522,123.92.184.211,US,0,0,Mirella Barbosa,44,2420,BR,yahoo.com,0,0,1,1,0,1,50,high
132,716,2025-07-01 20:38:52,70.93,MER-581,gaming,bank_transfer,desktop,DEV-8625,215.53.214.196,MX,1,1,Camila Pastor,49,3612,BR,yahoo.com,0,0,1,0,0,1,35,medium
133,882,2025-12-14 20:32:13,25.63,MER-907,travel,pix,desktop,DEV-6412,81.249.71.109,US,0,0,Lorenzo da Cunha,38,2445,BR,outlook.com,1,0,1,0,0,0,25,medium
134,333,2025-06-26 00:54:15,102.13,MER-459,pharmacy,credit_card,mobile,DEV-2849,187.75.133.200,PY,0,0,Catarina Araújo,19,1049,BR,hotmail.com,1,0,1,1,0,0,40,high
